Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
C29,generic_capacitor,TopLayer,C0402,2800,2335,180,
R16,generic_resistor,TopLayer,R0402,3795,2375,90,
R15,generic_resistor,TopLayer,R0402,3665,2375,90,
R14,generic_resistor,TopLayer,R0402,3535,2372.362,90,
R13,generic_resistor,TopLayer,R0402,3330,2320,180,
D4,KT-0603R,TopLayer,LED0603,3735,2375,270,Chip LED
D3,KT-0603R,TopLayer,LED0603,3605,2375,270,Chip LED
D2,KT-0603R,TopLayer,LED0603,3475,2375,270,Chip LED
X1,X322512MSB4SI,TopLayer,TSX-3225,2445,3700,270,
U5,TC58NVG1S3HBAI6,TopLayer,P-VFBGA67-0608-0.80-001,3720,2900,180,2 GBIT (256M x 8BIT) CMOS NAND EEPROM
U4,TPS767D301PWPR,TopLayer,R-PDSO-G28,3745,3640,180,
U3,93LC56B-I/SN,TopLayer,SOIC-8-NB,3290,3460,180,
U2,FT2232HL,TopLayer,TQFP-64_10X10MM,2820,3615,360,
U1,ICE40HX1K-TQ144,TopLayer,TQFP-144_20X20MM,2885,2825,180,
R12,generic_resistor,TopLayer,R0402,3210,3620,180,
R11,generic_resistor,TopLayer,R0402,3270,3310,360,
R10,generic_resistor,TopLayer,R0402,3195,3685,360,
R9,generic_resistor,TopLayer,R0402,3195,3730,0,
R8,generic_resistor,TopLayer,R0402,3420,3610,180,
R7,generic_resistor,TopLayer,R0402,3495,3385,0,
R6,generic_resistor,TopLayer,R0402,2790,3910,0,
R5,generic_resistor,TopLayer,R0402,3480,3525,90,
R4,generic_resistor,TopLayer,R0402,2425,3450,90,
R3,generic_resistor,TopLayer,R0402,2535,3650,90,
R2,generic_resistor,TopLayer,R0603,3925,3425,270,
R1,generic_resistor,TopLayer,R0603,3860,3425,270,
P3,Header 6,TopLayer,HDR1X6,3720,2505.63,360,"Header, 6-Pin"
P2,Header 6,TopLayer,HDR1X6,3470,2850.63,270,"Header, 6-Pin"
P1,Header 6,TopLayer,HDR1X6,3970,2850.63,90,"Header, 6-Pin"
J1,USB Micro,TopLayer,10118192-0001LF,3302.244,3889.803,180,
D1,1N4148W,TopLayer,SOD-123,2395,2415,90,Diode
C44,generic_capacitor,TopLayer,C0402,2465,3310,180,
C43,generic_capacitor,TopLayer,C0402,3385,3315,360,
C42,generic_capacitor,TopLayer,C0603,3380,3240,180,
C41,generic_capacitor,TopLayer,C0402,2755,2285,180,
C40,generic_capacitor,TopLayer,C0402,2390,2725,270,
C39,generic_capacitor,TopLayer,C0402,2700,2340,360,
C38,generic_capacitor,TopLayer,C0402,2890,3290,180,
C37,generic_capacitor,TopLayer,C0402,3370,2880,270,
C36,generic_capacitor,TopLayer,C0402,2390,2812.677,270,
C35,generic_capacitor,TopLayer,C0603,2885,3335,360,
C34,generic_capacitor,TopLayer,C0402,3375,3090,90,
C33,generic_capacitor,TopLayer,C0402,3090,3320,360,
C32,generic_capacitor,TopLayer,C0402,2785,3305,180,
C31,generic_capacitor,TopLayer,C0402,2390,2895,90,
C30,generic_capacitor,TopLayer,C0402,2390,2600,270,
C28,generic_capacitor,TopLayer,C0402,3075,2300,360,
C27,generic_capacitor,TopLayer,C0402,3385,2555,270,
C26,generic_capacitor,TopLayer,C0402,2580,3315,180,
C25,generic_capacitor,TopLayer,C0402,2395,3210,270,
C24,generic_capacitor,TopLayer,C0402,2985,2295,360,
C23,generic_capacitor,TopLayer,C0603,3375,2990,90,
C22,generic_capacitor,TopLayer,C0402,2420,3580,90,
C21,generic_capacitor,TopLayer,C0402,2440,3815,270,
C20,generic_capacitor,TopLayer,C0402,3115,3470,90,
C19,generic_capacitor,TopLayer,C0402,3000,3910,360,
C18,generic_capacitor,TopLayer,C0402,2487.323,3460,360,
C17,generic_capacitor,TopLayer,C0402,2610,3880,270,
C16,generic_capacitor,TopLayer,C0402,2440,3525,360,
C15,generic_capacitor,TopLayer,C0402,2555,3880,270,
C14,generic_capacitor,TopLayer,C0402,2885,3910,360,
C13,generic_capacitor,TopLayer,C0402,3130,3645,180,
C12,generic_capacitor,TopLayer,C0402,3115,3385,90,
C11,generic_capacitor,TopLayer,C0402,2675,3330,360,
C10,generic_capacitor,TopLayer,C0402,2690,3910,180,
C9,generic_capacitor,TopLayer,C0402,3110,3572.677,270,
C8,generic_capacitor,TopLayer,C0402,2510,3555,90,
C7,generic_capacitor,TopLayer,C0603,3600,3455,360,
C6,generic_capacitor,TopLayer,C0402,3620,3820,270,
C5,generic_capacitor,TopLayer,C0402,3840,2630,0,
C4,generic_capacitor,TopLayer,C0402,3840,2685,180,
C3,generic_capacitor,TopLayer,C0603,3760,3450,360,
C2,generic_capacitor,TopLayer,C0402,3780,3820,270,
C1,generic_capacitor,TopLayer,C0603,3425,3730,90,
J2,DF17(3.0)-20DS-0.5V(57),BottomLayer,DF17(3_0)-20DS-0_5V,3111.417,2405,180,
